kc_id,train_freq,train_correct_rate,test_n,test_pos,test_neg,difficulty_proxy,in_official_preds,eligible,dataset
0,5381,0.7219847611968035,1624,1158,466,0.27801523880319645,True,True,xes3g5m
1,5941,0.7761319643157718,1660,1269,391,0.2238680356842282,True,True,xes3g5m
10,27284,0.7381249083712066,8033,5956,2077,0.2618750916287934,True,True,xes3g5m
100,2031,0.7552929591334318,608,472,136,0.24470704086656825,True,True,xes3g5m
101,7186,0.7115224046757584,2022,1455,567,0.28847759532424155,True,True,xes3g5m
102,24291,0.8146226997653452,6854,5623,1231,0.18537730023465482,True,True,xes3g5m
103,1778,0.7671541057367829,489,369,120,0.2328458942632171,True,True,xes3g5m
104,32065,0.8196475908311243,8837,7302,1535,0.18035240916887574,True,True,xes3g5m
105,2405,0.7226611226611227,677,513,164,0.2773388773388773,True,True,xes3g5m
106,27954,0.9090291192673678,8156,7402,754,0.09097088073263215,True,True,xes3g5m
107,3527,0.7280975333144315,952,701,251,0.2719024666855685,True,True,xes3g5m
108,34327,0.8173158155387887,9869,8134,1735,0.18268418446121126,True,True,xes3g5m
109,31486,0.796068093755955,8862,7094,1768,0.203931906244045,True,True,xes3g5m
11,13197,0.811472304311586,3890,3224,666,0.188527695688414,True,True,xes3g5m
110,755,0.8516556291390729,212,185,27,0.1483443708609271,True,True,xes3g5m
111,1026,0.8235867446393762,288,245,43,0.1764132553606238,True,True,xes3g5m
112,14011,0.7660409678110056,3943,3051,892,0.2339590321889944,True,True,xes3g5m
113,806,0.9230769230769231,227,210,17,0.07692307692307687,True,False,xes3g5m
114,11081,0.7480371807598593,3153,2416,737,0.25196281924014075,True,True,xes3g5m
115,3997,0.7348011008256192,1122,857,265,0.2651988991743808,True,True,xes3g5m
116,3065,0.6740619902120718,895,589,306,0.3259380097879282,True,True,xes3g5m
117,6937,0.7955888712700014,2021,1646,375,0.20441112872999856,True,True,xes3g5m
118,5697,0.6987888362295945,1653,1188,465,0.30121116377040547,True,True,xes3g5m
119,8738,0.8117418173495079,2532,2063,469,0.1882581826504921,True,True,xes3g5m
12,10023,0.6900129701686122,2914,2059,855,0.3099870298313878,True,True,xes3g5m
120,1588,0.7840050377833753,445,353,92,0.21599496221662473,True,True,xes3g5m
121,13254,0.828881846989588,3722,3103,619,0.171118153010412,True,True,xes3g5m
122,1576,0.8153553299492385,483,413,70,0.18464467005076146,True,True,xes3g5m
123,19408,0.7469084913437758,5624,4167,1457,0.2530915086562242,True,True,xes3g5m
124,13987,0.7288196182169157,4047,2926,1121,0.27118038178308435,True,True,xes3g5m
125,2440,0.5856557377049181,717,433,284,0.4143442622950819,True,True,xes3g5m
126,1478,0.4580514208389716,454,214,240,0.5419485791610283,True,True,xes3g5m
127,9648,0.7399461028192371,2879,2183,696,0.2600538971807629,True,True,xes3g5m
128,5727,0.643443338571678,1699,1147,552,0.356556661428322,True,True,xes3g5m
129,1256,0.839968152866242,353,300,53,0.16003184713375795,True,True,xes3g5m
13,4763,0.7984463573378123,1392,1115,277,0.20155364266218767,True,True,xes3g5m
130,4869,0.7081536249743273,1403,1015,388,0.2918463750256727,True,True,xes3g5m
131,10297,0.8365543362144314,3035,2571,464,0.16344566378556857,True,True,xes3g5m
132,13713,0.7361627652592431,4061,3059,1002,0.26383723474075693,True,True,xes3g5m
133,7604,0.7769594950026302,2228,1743,485,0.22304050499736983,True,True,xes3g5m
134,8664,0.7484995383194829,2461,1836,625,0.2515004616805171,True,True,xes3g5m
135,14311,0.79756830410174,4009,3223,786,0.20243169589826004,True,True,xes3g5m
136,387,0.7338501291989664,103,77,26,0.2661498708010336,True,False,xes3g5m
137,2127,0.8707099200752233,644,571,73,0.1292900799247767,True,True,xes3g5m
138,65152,0.7788095530451866,18054,14212,3842,0.22119044695481338,True,True,xes3g5m
139,21267,0.8377298161470823,6201,5256,945,0.1622701838529177,True,True,xes3g5m
14,27046,0.8545810840789766,7642,6588,1054,0.1454189159210234,True,True,xes3g5m
140,34870,0.7742472039002007,10052,7835,2217,0.22575279609979926,True,True,xes3g5m
141,4260,0.7161971830985916,1191,871,320,0.2838028169014084,True,True,xes3g5m
142,14674,0.7441052201172141,4390,3247,1143,0.25589477988278586,True,True,xes3g5m
143,4137,0.9668842156151801,1169,1138,31,0.03311578438481988,True,True,xes3g5m
144,8509,0.692090727465037,2515,1777,738,0.30790927253496303,True,True,xes3g5m
145,8288,0.6871380308880309,2383,1632,751,0.31286196911196906,True,True,xes3g5m
146,8839,0.7841384772033035,2639,2086,553,0.21586152279669646,True,True,xes3g5m
147,14687,0.7910396949683394,4235,3349,886,0.20896030503166063,True,True,xes3g5m
148,11874,0.8020885969344786,3598,2900,698,0.19791140306552135,True,True,xes3g5m
149,6016,0.7308843085106383,1795,1328,467,0.26911569148936165,True,True,xes3g5m
15,2511,0.8156113102349661,775,625,150,0.18438868976503386,True,True,xes3g5m
150,5858,0.606691703653124,1756,1095,661,0.39330829634687603,True,True,xes3g5m
151,2339,0.55622060709705,687,409,278,0.44377939290295,True,True,xes3g5m
152,5544,0.7599206349206349,1700,1326,374,0.24007936507936511,True,True,xes3g5m
153,4099,0.632837277384728,1263,813,450,0.36716272261527205,True,True,xes3g5m
154,7761,0.8239917536399949,2424,2017,407,0.17600824636000512,True,True,xes3g5m
155,73913,0.7292357230798371,21152,15391,5761,0.2707642769201629,True,True,xes3g5m
156,3662,0.7463134898962316,1009,762,247,0.2536865101037684,True,True,xes3g5m
157,20870,0.73310972688069,5830,4276,1554,0.26689027311931,True,True,xes3g5m
158,2466,0.7388483373884833,676,483,193,0.2611516626115167,True,True,xes3g5m
159,2038,0.9018645731108931,557,508,49,0.09813542688910692,True,True,xes3g5m
16,12511,0.7483014946846774,3626,2737,889,0.25169850531532256,True,True,xes3g5m
160,9070,0.8682469680264608,2628,2257,371,0.13175303197353916,True,True,xes3g5m
