kc_id,train_freq,train_correct_rate,test_n,test_pos,test_neg,difficulty_proxy,in_official_preds,eligible,dataset
1,6609,0.6622787108488425,2007,1314,693,0.3377212891511575,True,True,assist2012
10,362,0.6988950276243094,111,75,36,0.30110497237569056,True,False,assist2012
100,115,0.4782608695652174,44,24,20,0.5217391304347826,True,False,assist2012
101,1963,0.5995924605196128,538,358,180,0.4004075394803872,True,True,assist2012
103,7682,0.8078625357979693,2149,1720,429,0.1921374642020307,True,True,assist2012
104,350,0.6085714285714285,100,63,37,0.39142857142857146,True,False,assist2012
105,1730,0.7624277456647399,538,363,175,0.23757225433526008,True,True,assist2012
106,4715,0.7427359490986214,1360,1038,322,0.2572640509013786,True,True,assist2012
11,4532,0.6590909090909091,1211,787,424,0.34090909090909094,True,True,assist2012
110,1168,0.8861301369863014,373,319,54,0.11386986301369861,True,True,assist2012
12,14585,0.6220774768597874,4089,2508,1581,0.3779225231402126,True,True,assist2012
13,14293,0.6705380256069404,3794,2569,1225,0.3294619743930596,True,True,assist2012
14,988,0.812753036437247,287,244,43,0.18724696356275305,True,True,assist2012
15,10426,0.7709572223287934,2802,2150,652,0.22904277767120662,True,True,assist2012
16,5123,0.722623462814757,1484,1076,408,0.277376537185243,True,True,assist2012
163,420,0.6761904761904762,143,101,42,0.32380952380952377,True,False,assist2012
1641,233,0.8154506437768241,61,45,16,0.18454935622317592,True,False,assist2012
165,203,0.7093596059113301,43,35,8,0.29064039408866993,True,False,assist2012
166,2075,0.5253012048192771,643,343,300,0.4746987951807229,True,True,assist2012
17,9860,0.48296146044624744,3434,1535,1899,0.5170385395537526,True,True,assist2012
172,38,0.7105263157894737,7,1,6,0.2894736842105263,True,False,assist2012
173,339,0.3215339233038348,63,20,43,0.6784660766961652,True,False,assist2012
174,29,0.9310344827586207,5,5,0,0.06896551724137934,True,False,assist2012
177,2,1.0,1,1,0,0.0,True,False,assist2012
18,13547,0.7167638591570089,3966,2900,1066,0.2832361408429911,True,True,assist2012
181,1175,0.6442553191489362,262,171,91,0.3557446808510638,True,True,assist2012
184,46,0.5,7,5,2,0.5,True,False,assist2012
